id_local;id_osm;code_com;coordonneesxy;capacite;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;source;date_maj
node/2715615004;node/2715615004;42218;[4.3856446,45.45111520041893];12;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;true;false;OpenStreetMap;06/10/2014
node/2715615010;node/2715615010;42218;[4.385714799999999,45.451341800418916];12;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/2715615016;node/2715615016;42218;[4.386592199999999,45.45146790041889];14;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;06/10/2014
node/2715615020;node/2715615020;42218;[4.386476299999999,45.45155600041886];14;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/2715615021;node/2715615021;42218;[4.3881935,45.45183390041884];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/2715615024;node/2715615024;42218;[4.3878597,45.45239410041877];15;ROUE;RATELIER;LIBRE ACCES;true;AUTRE;true;false;OpenStreetMap;13/03/2014
node/2860407101;node/2860407101;42207;[4.501642999999999,45.455639000418365];;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/05/2014
node/2931102423;node/2931102423;42218;[4.3982051,45.44343850041986];78;;AUTRE;LIBRE ACCES;false;AUTRE;true;false;OpenStreetMap;13/02/2021
node/3114757256;node/3114757256;42218;[4.3865513,45.44958250041911];14;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;06/10/2014
node/3206083829;node/3206083829;42218;[4.390902,45.430529900421455];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/11/2014
node/3206083830;node/3206083830;42218;[4.389767099999999,45.430498100421445];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;16/12/2021
node/3207792048;node/3207792048;42218;[4.3888136,45.439830400420306];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;05/05/2021
node/3208359790;node/3208359790;42218;[4.381699299999999,45.43730540042062];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/11/2014
node/3208359791;node/3208359791;42218;[4.379419399999999,45.43720000042063];5;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;20/01/2021
node/3208370489;node/3208370489;42218;[4.3956288,45.43064530042143];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/11/2014
node/3208582282;node/3208582282;42218;[4.3871409,45.4318330004213];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;28/11/2014
node/3330702751;node/3330702751;42218;[4.3937719,45.435254300420866];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/09/2021
node/3348052179;node/3348052179;42218;[4.3956522,45.43949270042035];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2021
node/3348084273;node/3348084273;42218;[4.3787650000000005,45.46559390041714];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/3500886244;node/3500886244;42218;[4.3931155,45.41791600042298];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/3618275311;node/3618275311;42218;[4.4029301,45.44099360042017];12;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/06/2015
node/3750184177;node/3750184177;42218;[4.3834766,45.441554300420094];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;22/01/2022
node/3751670124;node/3751670124;42218;[4.3822234,45.442088000420036];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;22/01/2022
node/3762122758;node/3762122758;42218;[4.3936503,45.436098200420794];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/09/2021
node/3762122759;node/3762122759;42218;[4.393366999999999,45.43562510042082];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/09/2021
node/3811538879;node/3811538879;42218;[4.389542799999999,45.435427200420854];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;08/07/2021
node/3812454548;node/3812454548;42218;[4.386471,45.44447420041974];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/01/2022
node/3812476215;node/3812476215;42218;[4.3917527,45.453892600418584];50;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/3812476216;node/3812476216;42218;[4.3917983,45.454058200418565];33;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/3877853600;node/3877853600;42218;[4.3840088999999995,45.421199900422586];4;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;05/12/2015
node/3940114262;node/3940114262;42218;[4.385958199999999,45.45112250041891];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114264;node/3940114264;42218;[4.3861522,45.45114900041893];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
node/3940114265;node/3940114265;42218;[4.3863366,45.45117590041894];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/01/2016
