Nombre de délibération,COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL
61,Saint-etienne metropole (SEM),24420077000117,2022.00047,2022-01-27,,,"TRAVAUX DE DISSIMULATION DES RESEAUX SECS, RUE DU TRIOLET SUR LA COMMUNE DE VILLARS - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL",2022,VOIRIE,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
62,Saint-etienne metropole (SEM),24420077000117,2022.00039,2022-01-27,,,PLAN DE RELANCE METROPOLITAIN 2021-2023 - ATTRIBUTION D’UN FONDS DE CONCOURS A LA COMMUNE DE SAINT-HEAND - EXTENSION DU BATIMENT DU JARDIN D’ENFANTS ET DU GROUPE SCOLAIRE BEAUVALLON,2022,ADMINISTRATION GÉNÉRALE DU BUDGET PRINCIPAL,PREF042,2022-02-08,123,93,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
63,Saint-etienne metropole (SEM),24420077000117,2022.00043,2022-01-27,,,SYNDICAT MIXTE D’AMENAGEMENT DES GORGES DE LA LOIRE - MODIFICATION DES STATUTS,2022,,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
64,Saint-etienne metropole (SEM),24420077000117,2022.00029,2022-01-27,,,PLAN LOCAL D’URBANISME (PLU) DE VILLARS - MODIFICATION SIMPLIFIEE N°2- MODALITES DE MISE A DISPOSITION DU PUBLIC,2022,INVESTISEMENT 2022 PROSPECTIVE DESTINATION PLANIFICATION,PREF042,2022-01-28,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
65,Saint-etienne metropole (SEM),24420077000117,2022.00056,2022-01-27,,DESIGNATION DES REPRESENTANTS,DESIGNATION DES REPRESENTANTS DE SAINT-ETIENNE METROPOLE AU SEIN DE DIVERS ORGANISMES,2022,,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
66,Saint-etienne metropole (SEM),24420077000117,2022.0003,2022-01-27,,,PLAN LOCAL D’URBANISME (PLU) DE PAVEZIN - MODIFICATION SIMPLIFIEE N°1 - MODALITES DE MISE A DISPOSITION DU PUBLIC - ANNULE ET REMPLACE LA DELIBERATION N° 2021.00396 DU 30/09/2021 SUR LA PERIODE DE MISE A DISPOSITION,2022,INVESTISEMENT 2022 PROSPECTIVE DESTINATION PLANIFICATION,PREF042,2022-01-28,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
67,Saint-etienne metropole (SEM),24420077000117,2022.0004,2022-01-27,,,PLAN DE RELANCE METROPOLITAIN 2021-2023 - ATTRIBUTION D’UN FONDS DE CONCOURS A LA COMMUNE D’UNIEUX - RENOVATION ENERGETIQUE DU GROUPE SCOLAIRE CLAUDIUS BUARD,2022,ADMINISTRATION GÉNÉRALE DU BUDGET PRINCIPAL,PREF042,2022-02-08,123,93,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
68,Saint-etienne metropole (SEM),24420077000117,2022.00059,2022-01-27,,,VOEU RELATIF A LA PARTICIPATION DE L’ETAT A LA PRISE EN CHARGE DU COUT DES AESH SUR LE TEMPS PERISCOLAIRE ET DEMANDANT L’INSTAURATION D’UN VERITABLE STATUT POUR CES ACCOMPAGNANTS,2022,,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
69,Saint-etienne metropole (SEM),24420077000117,2022.00044,2022-01-27,,,LANCEMENT DE L’OPAH COPROPRIETE DEGRADEE CONCORDE-CARAVELLE SUR LE QUARTIER DE LA CHAPELLE A ANDREZIEUX-BOUTHEON : SIGNATURE DE LA CONVENTION,2022,HABITAT,PREF042,2022-02-08,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
70,Saint-etienne metropole (SEM),24420077000117,2022.00036,2022-01-27,,,BUDGET ANNEXE EAU - REDEVANCE EAU POTABLE - RECTIFICATION D’UNE ERREUR MATERIELLE,2022,,PREF042,2022-02-08,123,93,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
